Date,Volume,Open,High,Low,Close,Adj Close
19-07-18,25534000,59.55,60.00,59.17,59.35,59.35
20-07-18,24948000,59.35,59.84,59.21,59.25,59.25
23-07-18,52384000,59.05,60.32,59.05,60.28,60.28
24-07-18,66364000,63.13,63.30,61.78,62.40,62.40
25-07-18,42556000,61.96,63.29,61.96,63.19,63.19
26-07-18,48112000,62.55,63.49,62.45,63.42,63.42
27-07-18,42612000,63.55,63.69,61.55,61.92,61.92
30-07-18,36998000,61.40,61.75,60.57,60.99,60.99
31-07-18,32894000,61.00,61.38,60.28,60.86,60.86
01-08-18,31344000,61.40,61.67,60.51,61.00,61.00
02-08-18,30626000,60.29,61.49,60.24,61.31,61.31
03-08-18,21792000,61.48,61.50,60.75,61.19,61.19
06-08-18,21634000,61.25,61.30,60.79,61.24,61.24
07-08-18,29880000,61.85,62.56,61.81,62.11,62.11
08-08-18,27406000,62.02,62.83,61.90,62.28,62.28
09-08-18,16972000,62.49,62.78,62.30,62.46,62.46
10-08-18,22174000,62.15,62.28,61.60,61.88,61.88
13-08-18,19946000,61.85,62.46,61.68,61.75,61.75
14-08-18,26962000,61.76,62.29,61.26,62.11,62.11
15-08-18,36576000,61.46,61.76,60.48,60.72,60.72
16-08-18,26864000,61.24,61.30,60.13,60.32,60.32
17-08-18,27792000,60.10,60.45,59.41,60.05,60.05
20-08-18,17416000,60.25,60.55,59.73,60.39,60.39
21-08-18,24112000,60.40,60.86,60.02,60.08,60.08
22-08-18,17748000,60.00,60.59,59.95,60.37,60.37
23-08-18,19852000,60.36,61.06,60.21,60.27,60.27
24-08-18,18932000,60.44,61.08,60.32,61.03,61.03
27-08-18,23126000,61.38,62.15,61.29,62.09,62.09
28-08-18,26080000,62.06,62.13,61.43,61.56,61.56
29-08-18,25978000,61.87,62.53,61.82,62.47,62.47
30-08-18,26628000,62.21,62.68,61.63,61.96,61.96
31-08-18,36328000,61.75,61.93,60.56,60.91,60.91
04-09-18,36620000,60.21,60.65,59.63,59.85,59.85
05-09-18,41226000,59.69,59.95,58.10,59.32,59.32
06-09-18,37770000,59.31,59.31,57.60,58.57,58.57
07-09-18,28026000,57.93,58.76,57.86,58.24,58.24
10-09-18,22308000,58.61,58.73,58.01,58.23,58.23
11-09-18,24186000,58.08,58.93,57.81,58.87,58.87
12-09-18,25910000,58.64,58.93,57.92,58.14,58.14
13-09-18,28624000,58.54,58.93,58.14,58.77,58.77
14-09-18,18880000,58.96,59.02,58.42,58.63,58.63
17-09-18,26130000,58.51,58.86,57.70,57.80,57.80
18-09-18,24072000,57.85,58.80,57.85,58.06,58.06
19-09-18,23828000,58.25,58.66,57.73,58.55,58.55
20-09-18,24508000,59.00,59.49,58.67,59.34,59.34
21-09-18,88112000,59.60,59.61,58.30,58.30,58.30
24-09-18,25420000,57.86,58.90,57.35,58.67,58.67
25-09-18,19554000,58.81,59.34,58.40,59.23,59.23
26-09-18,29246000,59.26,59.71,58.74,59.02,59.02
27-09-18,25216000,59.34,60.11,59.18,59.73,59.73
28-09-18,27612000,59.59,59.77,59.22,59.67,59.67
01-10-18,27152000,59.99,60.49,59.51,59.77,59.77
02-10-18,33758000,59.55,60.50,59.33,60.01,60.01
03-10-18,25124000,60.25,60.32,59.69,60.15,60.15
04-10-18,44190000,59.77,59.88,57.78,58.41,58.41
05-10-18,23686000,58.38,58.67,57.26,57.87,57.87
08-10-18,38648000,57.51,58.40,56.37,57.45,57.45
09-10-18,26174000,57.31,57.72,56.88,56.94,56.94
10-10-18,53514000,56.55,56.61,54.06,54.06,54.06
11-10-18,58980000,53.65,55.32,53.41,53.97,53.97
12-10-18,42026000,55.40,55.75,54.32,55.50,55.50
15-10-18,27448000,55.45,55.67,54.45,54.61,54.61
16-10-18,38570000,55.23,56.21,55.13,56.06,56.06
17-10-18,29344000,56.32,56.45,55.11,55.78,55.78
18-10-18,41890000,56.09,56.09,53.85,54.40,54.40
19-10-18,25352000,54.67,55.52,54.39,54.82,54.82
22-10-18,30284000,55.15,55.61,54.55,55.06,55.06
23-10-18,36974000,54.04,55.39,53.50,55.18,55.18
24-10-18,39648000,55.21,55.31,52.44,52.54,52.54
25-10-18,50916000,53.59,55.55,53.48,54.78,54.78
26-10-18,83752000,51.85,55.33,51.70,53.57,53.57
29-10-18,77614000,54.12,54.85,49.79,51.00,51.00
30-10-18,64254000,50.42,51.87,50.04,51.81,51.81
31-10-18,50596000,52.99,54.60,52.85,53.84,53.84
01-11-18,29640000,53.79,54.20,53.12,53.50,53.50
02-11-18,36780000,53.69,54.15,52.73,52.89,52.89
05-11-18,48828000,52.75,52.92,51.06,52.00,52.00
06-11-18,24666000,51.97,53.22,51.90,52.79,52.79
07-11-18,41168000,53.45,54.77,53.29,54.67,54.67
08-11-18,29764000,54.57,54.66,53.61,54.12,54.12
09-11-18,26864000,53.70,53.78,52.66,53.31,53.31
12-11-18,29436000,53.07,53.11,51.55,51.93,51.93
13-11-18,30274000,52.16,52.83,51.56,51.80,51.80
14-11-18,31318000,52.50,52.73,51.55,52.18,52.18
15-11-18,36722000,52.24,53.59,51.59,53.24,53.24
16-11-18,33162000,52.97,53.35,52.45,53.07,53.07
19-11-18,37172000,52.86,53.04,50.81,51.00,51.00
20-11-18,48982000,50.00,51.59,49.80,51.29,51.29
21-11-18,30686000,51.84,52.43,51.67,51.88,51.88
23-11-18,13830000,51.50,51.88,51.12,51.19,51.19
26-11-18,38856000,51.92,52.47,51.70,52.43,52.43
27-11-18,36064000,52.05,52.88,51.92,52.22,52.22
28-11-18,49508000,52.44,54.34,51.79,54.31,54.31
29-11-18,29378000,53.80,54.71,53.80,54.42,54.42
30-11-18,51604000,54.45,54.78,53.89,54.72,54.72
03-12-18,39824000,56.16,56.23,55.18,55.32,55.32
04-12-18,46904000,55.16,55.22,52.50,52.54,52.54
06-12-18,55384000,51.71,53.56,51.54,53.44,53.44
07-12-18,42024000,53.00,53.76,51.42,51.83,51.83
10-12-18,36154000,51.75,52.42,51.16,51.98,51.98
11-12-18,27894000,52.82,53.03,51.99,52.59,52.59
12-12-18,30476000,53.40,54.08,53.14,53.18,53.18
13-12-18,26596000,53.40,53.99,52.70,53.10,53.10
14-12-18,33732000,52.50,53.13,52.04,52.11,52.11
17-12-18,47708000,51.88,52.66,50.40,50.83,50.83
18-12-18,43850000,51.30,52.47,51.07,51.44,51.44
19-12-18,49586000,51.70,53.10,50.40,51.15,51.15
20-12-18,53470000,50.91,51.71,49.82,50.47,50.47
21-12-18,91920000,50.76,51.20,48.68,48.98,48.98
24-12-18,31806000,48.70,50.18,48.51,48.81,48.81
26-12-18,47466000,49.45,52.00,49.15,51.97,51.97
27-12-18,42196000,50.86,52.19,49.85,52.19,52.19
28-12-18,28296000,52.48,52.78,51.65,51.85,51.85
31-12-18,29866000,52.55,52.63,51.18,51.78,51.78
02-01-19,30652000,50.83,52.62,50.79,52.29,52.29
03-01-19,36822000,52.05,52.85,50.70,50.80,50.80
04-01-19,41878000,51.63,53.54,51.37,53.54,53.54
07-01-19,39638000,53.58,53.70,52.74,53.42,53.42
08-01-19,35298000,53.81,54.23,53.03,53.81,53.81
09-01-19,23986000,54.08,54.13,53.32,53.73,53.73
10-01-19,29128000,53.38,53.56,52.89,53.52,53.52
11-01-19,30416000,53.16,53.19,52.42,52.86,52.86
14-01-19,22886000,52.35,52.58,52.06,52.23,52.23
15-01-19,29272000,52.51,54.00,52.37,53.86,53.86
16-01-19,26636000,54.00,54.62,53.97,54.05,54.05
17-01-19,24854000,53.97,54.59,53.67,54.49,54.49
18-01-19,39112000,55.00,55.42,54.54,54.91,54.91
22-01-19,32270000,54.40,54.58,53.17,53.53,53.53
23-01-19,19340000,53.87,54.25,52.99,53.78,53.78
24-01-19,27226000,53.82,53.97,53.04,53.70,53.70
25-01-19,22382000,54.25,54.70,54.09,54.55,54.55
28-01-19,25686000,54.01,54.15,53.19,53.50,53.50
29-01-19,20436000,53.63,53.76,52.79,53.03,53.03
30-01-19,25596000,53.42,54.55,53.34,54.45,54.45
31-01-19,30766000,55.15,55.87,54.77,55.82,55.82
01-02-19,29244000,55.62,56.25,55.24,55.54,55.54
04-02-19,51530000,55.63,56.64,55.45,56.64,56.64
05-02-19,71044000,56.24,57.34,55.86,57.30,57.30
